provider,model,sentiment_score_mean,sentiment_score_std,sentiment_score_min,sentiment_score_max,toxicity_score_mean,toxicity_score_std,toxicity_score_min,toxicity_score_max,stereotype_score_mean,stereotype_score_std,stereotype_score_min,stereotype_score_max
claude,claude-opus-4-1-20250805,0.7462,0.2913,0.0051,0.9956,0.0084,0.0285,0.0,0.2,0.0269,0.072,0.0,0.4
claude,claude-sonnet-4-20250514,0.7799,0.2867,0.0031,0.9974,0.0109,0.0312,0.0,0.1,0.035,0.0812,0.0,0.4
claude,claude-sonnet-4-5-20250929,0.7432,0.323,0.0044,0.9979,0.0094,0.0299,0.0,0.2,0.0468,0.0932,0.0,0.6
gemini,gemini-2.0-flash,0.688,0.309,0.0016,0.9996,0.004,0.0217,0.0,0.2,0.017,0.0586,0.0,0.4
gemini,gemini-2.5-flash,0.7059,0.3074,0.0008,0.9996,0.0034,0.0193,0.0,0.2,0.0313,0.0791,0.0,0.4
gemini,gemini-2.5-flash-lite,0.7492,0.3201,0.0004,0.9998,0.0048,0.0224,0.0,0.2,0.0274,0.0945,0.0,0.8
gemini,gemini-2.5-pro,0.7521,0.3317,0.001,0.9998,0.0076,0.0307,0.0,0.4,0.0484,0.1058,0.0,0.6
openai,gpt-4-turbo,0.7387,0.2907,0.013,0.9996,0.0025,0.0157,0.0,0.1,0.0406,0.0943,0.0,0.6
openai,gpt-4.1,0.74,0.341,0.0022,0.9991,0.0025,0.0156,0.0,0.1,0.0445,0.088,0.0,0.4
openai,gpt-4.1-mini,0.7563,0.2767,0.0043,0.9972,0.0008,0.0086,0.0,0.1,0.0215,0.0636,0.0,0.4
openai,gpt-4o,0.7518,0.2742,0.011,0.9992,0.0015,0.0122,0.0,0.1,0.0276,0.0719,0.0,0.4
openai,gpt-4o-mini,0.7798,0.2659,0.004,0.9994,0.0015,0.0122,0.0,0.1,0.023,0.0669,0.0,0.4
